sentence,P1,P2,P3
철수가 그사이에 후딱 편집을 해주세요.,Suggestion ,Suggestion ,Suggestion 
철수가 이때 샐러드를 먹어 주세요.,Suggestion ,Suggestion ,Suggestion 
간장을 넣어 주십사 하고 부탁드립니다.,Suggestion ,Suggestion ,Suggestion 
돼지고기를 먹기 좋은 크기로 잘라  주십사 하고 부탁드립니다.,Suggestion ,Suggestion ,Suggestion 
가장자리가 익기 시작하면 김치전을  뒤집어 주십사  하고 부탁드립니다.,Suggestion ,Suggestion ,Suggestion 
커피 머신을 세척할거라 물을 가득 담아 주십사  하고 부탁드립니다.,Suggestion ,Suggestion ,Suggestion 
그사이에 편집을 해 주십사  하고 부탁드립니다.,Suggestion ,Suggestion ,Suggestion 
이때 샐러드를 드셔 주십사  하고 부탁드립니다.,Suggestion ,Suggestion ,Suggestion 
간장을 넣어 줄게요,Statement ,Future Intention,Suggestion 
돼지고기를 먹기 좋은 크기로 잘라 줄게요,Statement ,Statement ,Suggestion 
가장자리가 익기 시작하면 김치전을 뒤집어 줄게요,Statement ,Statement ,Suggestion 
커피 머신을 세척할거라 물을 가득 담아 줄게요,Statement ,Future Intention,Suggestion 
그사이에 후딱 편집을 해줄게요,Statement ,Future Intention,Suggestion 
이때 샐러드를 먹어 줄게요,Statement ,Statement ,Suggestion 
철수가 간장을 넣어 줄게요.,Suggestion ,Statement ,Suggestion 
철수가 돼지고기를 먹기 좋은 크기로 잘라 줄게요,Suggestion ,Future Intention,Suggestion 
철수가 가장자리가 익기 시작하면 김치전을 뒤집어 줄게요.,Suggestion ,Statement ,Suggestion 
철수가 커피 머신을 세척할거라 물을 가득 담아 줄게요.,Suggestion ,Statement ,Suggestion 
철수가 그사이에 후딱 편집을 해 줄게요.,Suggestion ,Future Intention,Suggestion 
"철수가 샐러드를 먹어 줄게요,",Suggestion ,Statement ,Suggestion 
누군가 간장을 넣었습니다,Statement ,Statement ,Statement 
누군가 돼지고기를 먹기 좋은 크기로 잘랐습니다.,Statement ,Statement ,Statement 
누가 김치전을 뒤집어도 상관 없습니다.,Statement ,Statement ,Statement 
커피 머신을 세척할거라 누군가 물을 가득 담아 주었습니다.,Statement ,Statement ,Statement 
어떻게든 그사이에 후딱 편집을 해줍니다.,Statement ,Statement ,Statement 
이때 어떻게든 샐러드를 먹어 줍니다.,Statement ,Statement ,Statement 
비리제보처를 만들어주세요.,Suggestion ,Suggestion ,Suggestion 
청원자님들!! 청소년보호법이 아니라 소년법 폐지를 청원하세요!!,Suggestion ,Sarcasm/Humor,Suggestion 
소액주주 보호를 위해 조사요청 드립니다.,Suggestion ,Suggestion ,Suggestion 
황우석박사님 연구재개 허용 촉구합니다.,Suggestion ,Sarcasm/Humor,Suggestion 
공공부분 정규직화에 따른 피해자는 없게 해주세요,Suggestion ,Suggestion ,Suggestion 
대한민국 학원에대한 법을 신설하여주십쇼,Suggestion ,Suggestion ,Suggestion 
군병원관련 응급의기준 제고바랍니다,Suggestion ,Suggestion ,Suggestion 
보육료인상 반드시 이루어져야 합니다.,Suggestion ,Suggestion ,Suggestion 
변리사 시험의 공정한 출제와 채점 요구합니다.,Suggestion ,Suggestion ,Suggestion 
유투브 댓글알바들을 처리좀 했으면 합니다.,Suggestion ,Suggestion ,Suggestion 
중등교과교사티오 증원을 요청합니다,Suggestion ,Suggestion ,Suggestion 
편의점 점주 자영업자에게 숨통을 트여주세요,Suggestion ,Suggestion ,Suggestion 
비정규직의 슬픔을 들어주세요~~,Suggestion ,Suggestion ,Suggestion 
여론조작 처벌 도입과 무거운 형량을 원합니다,Suggestion ,Suggestion ,Suggestion 
청소년보호법 개정을 원합니다!,Suggestion ,Suggestion ,Suggestion 
기간제 교사의 목소리를 들어주세요,Suggestion ,Suggestion ,Suggestion 
1가구 1주택 장기보유자 구제부탁드립니다,Suggestion ,Suggestion ,Suggestion 
보이스피싱과 같이 사이버피싱도 법 개정해주세요,Suggestion ,Suggestion ,Suggestion 
저의 딸을 만날수 있게 도와 주세요,Suggestion ,Suggestion ,Suggestion 
서민도 마음놓고살수있는 세상을만들어주세요,Suggestion ,Suggestion ,Suggestion 
치과치료 보험적용되게 해주세요,Suggestion ,Suggestion ,Suggestion 
민원인은 참석 하여 의견을 제출할 기회를 달라 요구합니다,Suggestion ,Statement ,Suggestion 
전국고속도로 최고속도 일원화를 요청합니다.,Suggestion ,Suggestion ,Suggestion 
교육계에서 일제의 잔재를 청산해 주십시오.,Suggestion ,Suggestion ,Suggestion 
대안교육지원법을 제정해 주십시오.,Suggestion ,Suggestion ,Suggestion 
국가유공자 7급공상군경의 보훈금의 차등 해소 검토 바랍니다.,Suggestion ,Suggestion ,Suggestion 
신축중인 이웃집 보일러 연통,Statement ,Statement ,Statement 
출산지원금 못받았습니다,Statement ,Statement ,Statement 
사는게  힘이 드네요,Statement ,Exclamation,Exclamation
mbc-대담-나라에 서운합니다....,Statement ,Exclamation,Exclamation
청원게시판 기능 오류,Statement ,Statement ,Statement 
장야초등학교 3학년 2반입니다,Statement ,Statement ,Statement 
보육교사 처우개선에 관한 내용입니다.,Statement ,Statement ,Statement 
암환자. 삼성생명. 한화생명. 보험금. 지급관련입니다,Statement ,Statement ,Statement 
문재인대통령과 문재인정부 러시아가스관 적극적 역할과제,Statement ,Statement ,Statement 
다문화가정에대해서올립니다,Statement ,Statement ,Statement 
인구절벽시대의 아이를 키우는 첫선생님의 실직위기,Statement ,Statement ,Statement 
담배연기때문에 돌아버릴 지경입니다,Statement ,Exclamation,Exclamation
제 아버지는 국가 유공자입니다.,Statement ,Statement ,Statement 
농협입찰공사 개탄스럽습니다.,Statement ,Exclamation,Exclamation
남자보다 강한 여성도 있다,Statement ,Sarcasm/Humor,Statement 
청소년 보호법이 아니라 소년법입니다...,Statement ,Statement ,Statement 
악마를 보았다.부산여중생 폭해사건,Statement ,Statement ,Statement 
보이스피싱 피해자인 아이엄마입니다..,Statement ,Statement ,Statement 
현재 제가 의료과실을인해 신경이손상이되어있습니다,Statement ,Statement ,Statement 
부패한 경찰의 사리사욕 때문에 대한민국이 OECD 국가중 자살률이 가장 높습니다.,Statement ,Sarcasm/Humor,Statement 
저는 정신장애 3급 장애인 입니다,Statement ,Statement ,Statement 
대통령님.경남진해구청에서긴급복지시.사실을덮고지원을않해줍니다,Statement ,Statement ,Suggestion 
돼지축사 악취 때문에 살기 함듭니다,Statement ,Statement ,Exclamation
돼지축사 악취 때문에 살기 함듭니다,Statement ,Statement ,Exclamation
강남구청으로부터 억울한일이 있습니다.,Statement ,Statement ,Exclamation
탈북자가 죄인가요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
문재인 대통령 나으리 청와대에 자살폭탄 테러를 해도 되겠습니까?,Rhetoric-question,Rhetoric-question,Rhetoric-question
"서울, 강남에만 집이 있는게 아닙니다. 부산도 지금 집값이 엉망인데 왜 외면하십니까?",Rhetoric-question,Rhetoric-question,Wh-Question
국민청원이라는게 억울한 사람들 청원경쟁 시키는 겁니까?,Rhetoric-question,Rhetoric-question,Rhetoric-question
누가 나랏일에 참여 하겠습니까?,Rhetoric-question,Rhetoric-question,Rhetoric-question
"한일군사정보보호협정(GSMOIA),이것이 과연 국익 증진을 위한 길이까요?",Rhetoric-question,Rhetoric-question,Rhetoric-question
문재인 대통령 나으리... 청와대에 강도질 좀 해도 되겠습니까?,Rhetoric-question,Rhetoric-question,Rhetoric-question
정부 각부처 제대로 일하는가?,Rhetoric-question,Rhetoric-question,Rhetoric-question
인구절벽외치면서 난임여성지원은왜뒷전인가요??,Rhetoric-question,Rhetoric-question,Rhetoric-question
대통령 얼굴 뉴스에 안보이면 안될까????,Rhetoric-question,Rhetoric-question,Rhetoric-question
임시 공휴일 및 법정 공휴일은 누구만을 위한 휴일입니까?,Rhetoric-question,Rhetoric-question,Rhetoric-question
문재인 대통령님이 정말 페미니스트 대통령이 맞나요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
여성이라는 이유만으로 군대를 안가는게 정상적인가요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
군대에서 다쳤으면 국가가 보상해야 되지 않나요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
부산 여중생 사건 이런 일 정말 반복안될 수 없을까요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
청소년보호법은 가해자 보호법입니까???,Rhetoric-question,Rhetoric-question,Rhetoric-question
살인을 해야 살인자입니까?,Rhetoric-question,Rhetoric-question,Rhetoric-question
애낳으라고요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
"부산 여중생 집단폭행사건, 국회의원 자녀가 당하면 어떻게 하겠습니까?",Rhetoric-question,Rhetoric-question,Rhetoric-question
부동산정책 왜 항상 뒷북인가요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
이게 나라입니까? 나라다운 나라요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
세월호때 일베랑 뭐가 다릅니까?,Rhetoric-question,Rhetoric-question,Rhetoric-question
대한민국은 부패한 경찰 연놈들의 사리사욕을 위한 그들만의 범죄천국입니다.,Statement ,Sarcasm/Humor,Sarcasm/Humor
휴대폰을 다같이 비싸게 사는게 국민들이 원하는 법인가요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
맞춤형보육은 누굴위한 보육인가요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
추석이 꼭 필요한가요?,Rhetoric-question,Rhetoric-question,Rhetoric-question
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
